date,channel,campaign_id,campaign_name,utm_source,utm_medium,ad_set,creative_id,impressions,clicks,spend_usd,conversions,revenue_usd,ctr_%,avg_cpc_usd,roas,audience_segment,age_range
2025-01-01,Search,CMP0001,Search_1,search,cpc,AS377,CR6874,53567,1226,1205.88,37,2200.9,2.29,0.98,1.83,Loyalty,35-44
2025-01-01,Display,CMP0002,Display_2,display,banner,AS700,CR3897,58600,1705,1190.9,70,4937.38,2.91,0.7,4.15,Retargeting,45-54
2025-01-01,Social,CMP0003,Social_3,social,social,AS947,CR8599,92457,627,196.42,4,409.7,0.68,0.31,2.09,Lookalike,45-54
2025-01-01,Social,CMP0004,Social_4,social,social,AS523,CR8456,143568,4231,5241.81,110,10665.11,2.95,1.24,2.03,Prospects,18-24
2025-01-01,Email,CMP0005,Email_5,email,email,AS559,CR2207,94665,2710,2380.47,65,2780.59,2.86,0.88,1.17,Prospects,18-24
2025-01-01,Email,CMP0006,Email_6,email,email,AS373,CR2641,68146,572,355.43,7,268.41,0.84,0.62,0.76,Prospects,45-54
2025-01-01,Affiliate,CMP0007,Affiliate_7,affiliate,affiliate,AS970,CR9622,56522,1149,1577.64,11,1285.13,2.03,1.37,0.81,Loyalty,55+
2025-01-01,Affiliate,CMP0008,Affiliate_8,affiliate,affiliate,AS303,CR5420,96107,2285,2262.56,45,856.56,2.38,0.99,0.38,Prospects,35-44
2025-01-01,Affiliate,CMP0009,Affiliate_9,affiliate,affiliate,AS946,CR2684,121366,917,432.4,12,1002.92,0.76,0.47,2.32,Retargeting,25-34
2025-01-02,Search,CMP0010,Search_10,search,cpc,AS195,CR8365,111261,2434,1490.49,98,11241.09,2.19,0.61,7.54,Lookalike,45-54
2025-01-02,Search,CMP0011,Search_11,search,cpc,AS710,CR1973,103790,771,994.07,8,940.23,0.74,1.29,0.95,Prospects,35-44
2025-01-02,Search,CMP0012,Search_12,search,cpc,AS799,CR7521,34777,192,148.65,10,527.42,0.55,0.77,3.55,Prospects,25-34
2025-01-02,Display,CMP0013,Display_13,display,banner,AS662,CR6531,84659,2367,1140.58,73,7726.01,2.8,0.48,6.77,Lookalike,55+
2025-01-02,Display,CMP0014,Display_14,display,banner,AS870,CR1307,41785,1172,361.03,21,335.63,2.8,0.31,0.93,Retargeting,45-54
2025-01-02,Display,CMP0015,Display_15,display,banner,AS284,CR3492,88928,2038,1174.35,27,2067.76,2.29,0.58,1.76,Lookalike,18-24
2025-01-02,Social,CMP0016,Social_16,social,social,AS396,CR4091,89128,1956,1077.78,75,8702.23,2.19,0.55,8.07,Lookalike,45-54
2025-01-02,Email,CMP0017,Email_17,email,email,AS849,CR6116,31752,336,483.36,9,934.86,1.06,1.44,1.93,Retargeting,55+
2025-01-02,Affiliate,CMP0018,Affiliate_18,affiliate,affiliate,AS210,CR1025,79069,1210,1304.47,20,957.76,1.53,1.08,0.73,Prospects,18-24
2025-01-02,Affiliate,CMP0019,Affiliate_19,affiliate,affiliate,AS328,CR6627,117984,2730,2325.2,132,10905.7,2.31,0.85,4.69,Loyalty,35-44
2025-01-02,Affiliate,CMP0020,Affiliate_20,affiliate,affiliate,AS691,CR7185,70155,385,227.94,14,636.41,0.55,0.59,2.79,Retargeting,18-24
