ClienteID,Nome_Cliente,Tipo_Cliente,Segmento_Cliente,Cidade,UF,Canal_Preferido,Data_Cadastro,Score_Risco
C000001,Cliente C000001,PF,Varejo,Chapecó,SC,Loja Física,2021-04-07,52.3
C000002,Cliente C000002,PF,Atacado,Uberlândia,MG,Online,2020-04-18,50.8
C000003,Cliente C000003,PF,Varejo,Chapecó,SC,Marketplace,2020-11-07,67.4
C000004,Cliente C000004,PF,Atacado,Belo Horizonte,MG,Online,2020-07-07,100.0
C000005,Cliente C000005,PJ,Varejo,Volta Redonda,RJ,Online,2023-10-07,80.8
C000006,Cliente C000006,PF,Varejo,Salvador,BA,Loja Física,2022-02-12,59.3
C000007,Cliente C000007,PF,Atacado,Ribeirão Preto,SP,Online,2022-11-26,81.7
C000008,Cliente C000008,PF,Varejo,Belo Horizonte,MG,Loja Física,2025-06-25,47.8
C000009,Cliente C000009,PF,Varejo,Fortaleza,CE,Marketplace,2025-04-22,32.9
C000010,Cliente C000010,PF,Varejo,Sorocaba,SP,Loja Física,2025-07-07,81.0
C000011,Cliente C000011,PF,Varejo,São Paulo,SP,Online,2020-08-11,45.7
C000012,Cliente C000012,PF,Atacado,Brasília,DF,Online,2023-01-30,55.7
C000013,Cliente C000013,PF,Premium,Porto Alegre,RS,Loja Física,2021-05-22,75.7
C000014,Cliente C000014,PF,Varejo,Curitiba,PR,Online,2024-03-03,77.1
C000015,Cliente C000015,PF,Corporate,Curitiba,PR,Online,2025-03-06,51.7
C000016,Cliente C000016,PJ,Corporate,Campos dos Goytacazes,RJ,Online,2022-05-18,63.1
C000017,Cliente C000017,PJ,Premium,Recife,PE,Online,2022-07-07,59.2
C000018,Cliente C000018,PF,Varejo,Sorocaba,SP,Loja Física,2020-05-03,63.4
C000019,Cliente C000019,PJ,Varejo,Taguatinga,DF,Online,2025-06-19,89.2
C000020,Cliente C000020,PF,Varejo,Belo Horizonte,MG,Online,2023-01-10,90.9
C000021,Cliente C000021,PF,Varejo,Sorocaba,SP,Online,2025-03-07,72.6
C000022,Cliente C000022,PJ,Varejo,Contagem,MG,Online,2024-07-20,57.3
C000023,Cliente C000023,PJ,Varejo,Juiz de Fora,MG,Loja Física,2022-10-21,93.7
C000024,Cliente C000024,PJ,Premium,Jaboatão dos Guararapes,PE,Marketplace,2023-01-29,87.2
C000025,Cliente C000025,PJ,Varejo,Contagem,MG,Marketplace,2020-12-04,65.4
C000026,Cliente C000026,PF,Varejo,Camaçari,BA,Loja Física,2022-08-09,83.1
C000027,Cliente C000027,PJ,Atacado,Jaboatão dos Guararapes,PE,Online,2022-10-01,89.2
C000028,Cliente C000028,PF,Corporate,Joinville,SC,Loja Física,2022-10-06,97.9
C000029,Cliente C000029,PF,Varejo,Brasília,DF,Online,2022-07-22,68.0
C000030,Cliente C000030,PF,Corporate,São Paulo,SP,Loja Física,2021-09-06,67.6
C000031,Cliente C000031,PJ,Varejo,Juiz de Fora,MG,Marketplace,2020-05-11,68.3
C000032,Cliente C000032,PF,Varejo,Belo Horizonte,MG,Loja Física,2024-03-05,87.2
C000033,Cliente C000033,PJ,Varejo,Juiz de Fora,MG,Loja Física,2021-06-12,52.2
C000034,Cliente C000034,PJ,Premium,Sorocaba,SP,Online,2023-07-16,69.9
C000035,Cliente C000035,PF,Atacado,Santa Maria,RS,Marketplace,2022-10-24,62.4
C000036,Cliente C000036,PF,Varejo,Maringá,PR,Online,2021-11-26,54.3
C000037,Cliente C000037,PF,Varejo,Sorocaba,SP,Online,2025-06-16,78.0
C000038,Cliente C000038,PJ,Corporate,Fortaleza,CE,Online,2020-08-30,52.4
C000039,Cliente C000039,PF,Premium,Caucaia,CE,Online,2021-10-15,89.8
C000040,Cliente C000040,PF,Varejo,Juazeiro do Norte,CE,Online,2021-12-01,62.6
