VendaID,Data,ClienteID,ProdutoID,Canal,Forma_Pagamento,Status,Quantidade,Preco_Unit,Desconto_Perc,Receita_Bruta,Receita_Liquida,Custo_Total,Lucro,Cidade,UF,Segmento_Cliente
V033554,2024-09-15,C000096,P000526,Loja Física,Crédito,Entregue,2,18.48,0.175,36.96,30.49,23.72,6.77,São Paulo,SP,Varejo
V009428,2024-11-02,C000617,P000196,Online,Pix,Entregue,1,18.76,0.075,18.76,17.35,12.36,4.99,Juazeiro do Norte,CE,Varejo
V000200,2024-11-30,C000155,P000657,Marketplace,Pix,Entregue,3,17.07,0.124,51.21,44.86,29.22,15.64,Contagem,MG,Varejo
V012448,2024-08-21,C000285,P000632,Online,Crédito,Entregue,1,7.94,0.054,7.94,7.51,4.73,2.78,Gama,DF,Varejo
V039490,2024-02-10,C000056,P000447,Televendas,Pix,Entregue,3,12.86,0.155,38.58,32.6,28.17,4.43,Feira de Santana,BA,Varejo
V042725,2025-02-03,C000254,P000961,Online,Crédito,Entregue,4,8.91,0.153,35.64,30.19,22.84,7.35,Belo Horizonte,MG,Varejo
V010823,2025-06-27,C000362,P000793,Loja Física,Crédito,Entregue,1,28.1,0.087,28.1,25.66,20.77,4.89,Vitória da Conquista,BA,Premium
V049499,2024-08-30,C000562,P000085,Loja Física,Crédito,Entregue,5,7.97,0.298,39.85,27.97,23.75,4.22,Sorocaba,SP,Varejo
V004145,2024-10-08,C000182,P000809,Loja Física,Crédito,Entregue,3,18.72,0.017,56.16,55.21,40.47,14.74,Caruaru,PE,Varejo
V036959,2025-07-02,C000749,P000026,Online,Débito,Entregue,3,10.27,0.179,30.81,25.3,24.84,0.46,Juiz de Fora,MG,Varejo
V043107,2024-07-07,C000508,P000531,Loja Física,Débito,Entregue,1,7.51,0.163,7.51,6.29,4.32,1.97,Londrina,PR,Varejo
V038696,2024-04-16,C000086,P000306,Loja Física,Crédito,Entregue,3,11.1,0.126,33.3,29.1,25.08,4.02,Gama,DF,Atacado
V006189,2024-08-04,C000965,P000729,Online,Pix,Entregue,3,13.86,0.083,41.58,38.13,26.16,11.97,Santa Maria,RS,Premium
V001415,2024-11-25,C000926,P000892,Loja Física,Crédito,Cancelado,4,26.72,0.111,106.88,95.02,82.4,12.62,Belo Horizonte,MG,Varejo
V018472,2025-03-08,C001165,P001140,Online,Crédito,Entregue,4,9.97,0.061,39.88,37.45,25.12,12.33,Vitória da Conquista,BA,Atacado
V029283,2024-04-13,C000936,P001048,Marketplace,Débito,Entregue,2,13.38,0.045,26.76,25.56,21.2,4.36,Feira de Santana,BA,Corporate
V015178,2025-02-25,C001272,P000878,Online,Débito,Entregue,4,19.14,0.098,76.56,69.06,42.44,26.62,Florianópolis,SC,Varejo
V034305,2025-05-06,C000585,P000258,Televendas,Pix,Entregue,5,13.86,0.35,69.3,45.04,47.15,-2.11,Juiz de Fora,MG,Varejo
V012610,2025-02-22,C000731,P000585,Loja Física,Crédito,Entregue,4,7.29,0.35,29.16,18.95,20.2,-1.25,Caxias do Sul,RS,Varejo
V012145,2024-10-02,C000221,P000544,Online,Crédito,Entregue,5,8.59,0.296,42.95,30.24,28.65,1.59,Joinville,SC,Varejo
V006114,2025-08-04,C001397,P000092,Loja Física,Crédito,Entregue,3,18.52,0.192,55.56,44.89,31.35,13.54,Santa Maria,RS,Premium
V015909,2025-06-20,C000135,P000545,Online,Crédito,Entregue,2,7.2,0.06,14.4,13.54,11.78,1.76,Ribeirão Preto,SP,Varejo
V000822,2024-11-17,C001467,P001060,Marketplace,Crédito,Entregue,2,7.62,0.233,15.24,11.69,8.72,2.97,Volta Redonda,RJ,Varejo
V015119,2024-05-10,C000673,P000380,Loja Física,Pix,Entregue,5,12.46,0.089,62.3,56.76,35.9,20.86,Campinas,SP,Varejo
V013467,2024-09-14,C001407,P001090,Loja Física,Pix,Devolvido,5,10.91,0.044,54.55,52.15,37.5,14.65,Campinas,SP,Varejo
V026498,2024-11-06,C001069,P000985,Online,Boleto,Entregue,5,12.63,0.241,63.15,47.93,48.15,-0.22,Camaçari,BA,Varejo
V042112,2025-05-07,C000950,P001064,Loja Física,Crédito,Entregue,1,4.15,0.247,4.15,3.12,2.49,0.63,Joinville,SC,Varejo
V030189,2025-02-02,C000657,P001120,Online,Débito,Entregue,1,10.15,0.28,10.15,7.31,5.94,1.37,Rio de Janeiro,RJ,Varejo
V037238,2025-02-12,C000035,P000728,Online,Pix,Entregue,3,11.84,0.202,35.52,28.34,25.92,2.42,Santa Maria,RS,Atacado
V033110,2024-11-21,C000422,P000202,Loja Física,Pix,Entregue,5,35.21,0.225,176.05,136.44,111.85,24.59,Contagem,MG,Varejo
V036481,2025-06-23,C001238,P001169,Online,Pix,Entregue,2,25.35,0.218,50.7,39.65,31.88,7.77,Joinville,SC,Varejo
V024149,2024-08-19,C000037,P000699,Online,Pix,Entregue,2,9.12,0.181,18.24,14.94,10.56,4.38,Sorocaba,SP,Varejo
V005504,2024-01-04,C000721,P001071,Online,Crédito,Entregue,2,7.02,0.044,14.04,13.42,9.08,4.34,Campinas,SP,Varejo
V003919,2025-06-10,C000959,P000301,Online,Crédito,Entregue,3,18.42,0.297,55.26,38.85,39.54,-0.69,Feira de Santana,BA,Varejo
V038479,2024-09-20,C000291,P000284,Loja Física,Pix,Entregue,4,13.93,0.35,55.72,36.22,39.56,-3.34,Caruaru,PE,Varejo
V021124,2024-12-31,C000837,P001131,Loja Física,Pix,Entregue,2,16.91,0.309,33.82,23.37,21.78,1.59,Gama,DF,Premium
V049718,2025-01-21,C001310,P000262,Marketplace,Débito,Entregue,2,20.19,0.062,40.38,37.88,23.34,14.54,Feira de Santana,BA,Atacado
V042295,2024-12-23,C000230,P000918,Loja Física,Crédito,Entregue,2,11.39,0.179,22.78,18.7,12.72,5.98,Curitiba,PR,Varejo
V047610,2025-01-14,C000293,P000425,Online,Pix,Entregue,4,21.96,0.044,87.84,83.98,49.96,34.02,Brasília,DF,Atacado
V011077,2024-10-09,C000143,P000089,Online,Pix,Entregue,7,12.89,0.35,90.23,58.65,72.03,-13.38,Campos dos Goytacazes,RJ,Premium
V041515,2024-01-23,C001467,P000107,Loja Física,Crédito,Entregue,4,7.53,0.204,30.12,23.98,18.48,5.5,Volta Redonda,RJ,Varejo
V022063,2025-06-29,C000828,P000042,Loja Física,Crédito,Entregue,3,9.35,0.23,28.05,21.6,18.81,2.79,Juiz de Fora,MG,Varejo
V009414,2024-04-01,C000718,P000065,Online,Crédito,Entregue,6,7.34,0.231,44.04,33.87,31.14,2.73,Recife,PE,Corporate
V038341,2024-02-19,C001297,P000211,Online,Pix,Entregue,7,13.21,0.053,92.47,87.57,67.83,19.74,Brasília,DF,Atacado
V030264,2025-04-05,C000596,P000929,Online,Pix,Entregue,1,21.93,0.146,21.93,18.73,14.42,4.31,Ponta Grossa,PR,Varejo
V041253,2024-05-11,C000125,P000819,Online,Crédito,Entregue,2,18.34,0.068,36.68,34.19,22.46,11.73,Sorocaba,SP,Varejo
V014645,2024-06-09,C000490,P000153,Online,Débito,Entregue,2,14.9,0.105,29.8,26.67,18.7,7.97,Caucaia,CE,Premium
V026336,2024-01-28,C000453,P000007,Online,Pix,Entregue,3,7.36,0.123,22.08,19.36,16.2,3.16,Volta Redonda,RJ,Atacado
V028103,2025-03-22,C000864,P000522,Loja Física,Crédito,Entregue,2,17.31,0.02,34.62,33.93,26.54,7.39,Maringá,PR,Corporate
V017524,2025-02-16,C001296,P000852,Televendas,Pix,Entregue,2,5.91,0.25,11.82,8.86,7.34,1.52,Ponta Grossa,PR,Atacado
V024713,2025-03-08,C000746,P000218,Online,Pix,Entregue,3,17.73,0.28,53.19,38.3,41.64,-3.34,Campinas,SP,Premium
V040486,2024-05-16,C000775,P000549,Online,Crédito,Entregue,1,10.09,0.067,10.09,9.41,5.4,4.01,Brasília,DF,Varejo
V003851,2024-03-12,C000675,P000531,Loja Física,Débito,Entregue,3,6.96,0.187,20.88,16.98,12.96,4.02,Florianópolis,SC,Premium
V040041,2025-02-17,C001003,P001196,Loja Física,Pix,Entregue,4,16.65,0.033,66.6,64.4,40.68,23.72,Santos,SP,Varejo
V015268,2025-01-07,C001436,P000477,Loja Física,Crédito,Entregue,3,25.62,0.057,76.86,72.48,57.42,15.06,Londrina,PR,Corporate
V049147,2025-06-16,C000384,P000900,Online,Pix,Cancelado,3,9.28,0.086,27.84,25.45,16.44,9.01,Camaçari,BA,Varejo
V030002,2024-06-12,C000405,P000075,Online,Crédito,Entregue,2,21.15,0.136,42.3,36.55,30.18,6.37,Curitiba,PR,Varejo
V045927,2025-04-27,C001147,P000050,Loja Física,Pix,Entregue,2,17.46,0.049,34.92,33.21,22.28,10.93,Ponta Grossa,PR,Premium
V043825,2024-02-07,C001120,P000556,Online,Pix,Entregue,1,12.05,0.086,12.05,11.01,9.76,1.25,Florianópolis,SC,Varejo
V017241,2025-03-26,C000837,P001167,Loja Física,Crédito,Entregue,3,20.95,0.35,62.85,40.85,38.01,2.84,Gama,DF,Premium
V004893,2024-01-05,C000537,P000454,Marketplace,Pix,Entregue,2,15.11,0.345,30.22,19.79,19.26,0.53,Porto Alegre,RS,Corporate
V000726,2024-08-05,C000640,P000153,Loja Física,Pix,Entregue,3,14.95,0.323,44.85,30.36,28.05,2.31,Juiz de Fora,MG,Varejo
V022950,2025-01-27,C000003,P000220,Loja Física,Pix,Entregue,5,16.1,0.177,80.5,66.25,49.05,17.2,Chapecó,SC,Varejo
V034658,2025-06-03,C000422,P000069,Online,Crédito,Entregue,2,8.84,0.267,17.68,12.96,11.5,1.46,Contagem,MG,Varejo
V037214,2024-09-14,C000149,P000559,Online,Débito,Entregue,3,17.3,0.152,51.9,44.01,29.7,14.31,Volta Redonda,RJ,Varejo
V020305,2024-07-25,C000335,P000487,Loja Física,Crédito,Entregue,4,4.94,0.163,19.76,16.54,12.04,4.5,Ponta Grossa,PR,Varejo
V015270,2024-01-10,C000947,P000987,Marketplace,Boleto,Entregue,4,25.14,0.273,100.56,73.11,67.32,5.79,Olinda,PE,Varejo
V022368,2024-10-13,C000498,P000673,Loja Física,Pix,Entregue,4,5.46,0.11,21.84,19.44,16.08,3.36,Porto Alegre,RS,Corporate
V042685,2025-04-28,C000472,P001059,Online,Pix,Entregue,2,10.96,0.217,21.92,17.16,14.12,3.04,São Paulo,SP,Varejo
V046735,2024-02-24,C000389,P000037,Online,Crédito,Entregue,2,6.58,0.243,13.16,9.96,7.54,2.42,Sorocaba,SP,Varejo
V011733,2025-05-14,C001282,P000858,Loja Física,Débito,Entregue,1,12.29,0.222,12.29,9.56,8.46,1.1,Ceilândia,DF,Corporate
V018620,2025-02-19,C000308,P000380,Online,Crédito,Entregue,2,12.19,0.227,24.38,18.85,14.36,4.49,Brasília,DF,Varejo
